dict_id,sheet_name,column_name,data_type,allowed_values,description,required,primary_key,foreign_key_to,example_value
dict_000298,qc_log,qc_id,string,,Column qc_id in qc_log.,True,True,,
dict_000299,qc_log,entity_type,string,,Column entity_type in qc_log.,False,False,,
dict_000300,qc_log,entity_id,string,,Column entity_id in qc_log.,False,False,,
dict_000301,qc_log,check_type,string,,Column check_type in qc_log.,False,False,,
dict_000302,qc_log,result_status,string,,Column result_status in qc_log.,False,False,,
dict_000303,qc_log,finding_text,string,,Column finding_text in qc_log.,False,False,,
dict_000304,qc_log,reviewer_role,string,,Column reviewer_role in qc_log.,False,False,,
dict_000305,qc_log,reviewed_at,string,,Column reviewed_at in qc_log.,False,False,,
dict_000306,qc_log,remediation_ticket,string,,Column remediation_ticket in qc_log.,False,False,,
dict_000307,changelog,change_id,string,,Column change_id in changelog.,True,True,,
dict_000308,changelog,entity_type,string,,Column entity_type in changelog.,False,False,,
dict_000309,changelog,entity_id,string,,Column entity_id in changelog.,False,False,,
dict_000310,changelog,change_type,string,,Column change_type in changelog.,False,False,,
dict_000311,changelog,change_summary,string,,Column change_summary in changelog.,False,False,,
dict_000312,changelog,changed_by_role,string,,Column changed_by_role in changelog.,False,False,,
dict_000313,changelog,changed_at,string,,Column changed_at in changelog.,False,False,,
dict_000314,changelog,supersedes_id_nullable,string,,Column supersedes_id_nullable in changelog.,False,False,,
dict_000315,chunk_manifest,chunk_id,string,,Column chunk_id in chunk_manifest.,True,True,,
dict_000316,chunk_manifest,chunk_order,string,,Column chunk_order in chunk_manifest.,False,False,,
dict_000317,chunk_manifest,chunk_name,string,,Column chunk_name in chunk_manifest.,False,False,,
dict_000318,chunk_manifest,entity_scope,string,,Column entity_scope in chunk_manifest.,False,False,,
dict_000319,chunk_manifest,id_range_start,string,,Column id_range_start in chunk_manifest.,False,False,,
dict_000320,chunk_manifest,id_range_end,string,,Column id_range_end in chunk_manifest.,False,False,,
dict_000321,chunk_manifest,export_file_name,string,,Column export_file_name in chunk_manifest.,False,False,,
dict_000322,chunk_manifest,checksum_sha256,string,,Column checksum_sha256 in chunk_manifest.,False,False,,
dict_000323,chunk_manifest,released_at,string,,Column released_at in chunk_manifest.,False,False,,
dict_000324,ai_prompts,prompt_id,string,,Column prompt_id in ai_prompts.,True,True,,
dict_000325,ai_prompts,prompt_type,string,,Column prompt_type in ai_prompts.,False,False,,
dict_000326,ai_prompts,title,string,,Column title in ai_prompts.,False,False,,
dict_000327,ai_prompts,prompt_text,string,,Column prompt_text in ai_prompts.,False,False,,
dict_000328,ai_prompts,level_scope,string,,Column level_scope in ai_prompts.,False,False,,
dict_000329,ai_prompts,safety_flag,string,,Column safety_flag in ai_prompts.,False,False,,
dict_000330,sql_schema,line_id,string,,Column line_id in sql_schema.,True,True,,
dict_000331,sql_schema,sql,string,,Column sql in sql_schema.,False,False,,
